datetime,symbol,open,high,low,close,volume,year_month,month
2025-08-01 00:00:00,CME_MINI:NQ1!,23297.5,23303.5,23283.0,23287.75,704.0,,2025-08
2025-08-01 00:05:00,CME_MINI:NQ1!,23287.25,23294.5,23284.0,23290.75,248.0,,2025-08
2025-08-01 00:10:00,CME_MINI:NQ1!,23289.0,23289.0,23275.0,23280.0,473.0,,2025-08
2025-08-01 00:15:00,CME_MINI:NQ1!,23280.0,23288.0,23275.0,23282.25,518.0,,2025-08
2025-08-01 00:20:00,CME_MINI:NQ1!,23281.75,23282.0,23262.5,23271.0,1382.0,,2025-08
2025-08-01 00:25:00,CME_MINI:NQ1!,23270.75,23271.25,23231.5,23249.0,1779.0,,2025-08
2025-08-01 00:30:00,CME_MINI:NQ1!,23248.0,23263.0,23244.0,23260.75,878.0,,2025-08
2025-08-01 00:35:00,CME_MINI:NQ1!,23260.5,23267.75,23255.75,23267.25,430.0,,2025-08
2025-08-01 00:40:00,CME_MINI:NQ1!,23266.0,23290.0,23265.25,23281.0,731.0,,2025-08
2025-08-01 00:45:00,CME_MINI:NQ1!,23281.25,23281.5,23263.5,23265.75,499.0,,2025-08
2025-08-01 00:50:00,CME_MINI:NQ1!,23265.25,23271.75,23258.25,23266.0,485.0,,2025-08
2025-08-01 00:55:00,CME_MINI:NQ1!,23266.25,23283.5,23266.25,23280.25,466.0,,2025-08
2025-08-01 01:00:00,CME_MINI:NQ1!,23279.75,23287.5,23272.0,23281.0,553.0,,2025-08
2025-08-01 01:05:00,CME_MINI:NQ1!,23280.5,23288.75,23277.5,23288.5,396.0,,2025-08
2025-08-01 01:10:00,CME_MINI:NQ1!,23289.0,23302.0,23286.25,23298.25,960.0,,2025-08
2025-08-01 01:15:00,CME_MINI:NQ1!,23298.0,23308.25,23297.0,23305.75,644.0,,2025-08
2025-08-01 01:20:00,CME_MINI:NQ1!,23306.25,23315.75,23303.25,23309.5,814.0,,2025-08
2025-08-01 01:25:00,CME_MINI:NQ1!,23309.0,23320.0,23308.75,23313.0,565.0,,2025-08
2025-08-01 01:30:00,CME_MINI:NQ1!,23313.5,23323.25,23313.25,23320.75,599.0,,2025-08
2025-08-01 01:35:00,CME_MINI:NQ1!,23321.0,23327.25,23318.25,23322.5,739.0,,2025-08
2025-08-01 01:40:00,CME_MINI:NQ1!,23323.0,23328.75,23320.0,23323.75,560.0,,2025-08
2025-08-01 01:45:00,CME_MINI:NQ1!,23324.25,23324.75,23312.0,23314.75,690.0,,2025-08
2025-08-01 01:50:00,CME_MINI:NQ1!,23313.75,23324.25,23311.0,23322.5,440.0,,2025-08
2025-08-01 01:55:00,CME_MINI:NQ1!,23322.5,23325.75,23317.75,23322.25,324.0,,2025-08
2025-08-01 02:00:00,CME_MINI:NQ1!,23322.5,23329.0,23314.5,23321.75,529.0,,2025-08
2025-08-01 02:05:00,CME_MINI:NQ1!,23320.5,23327.5,23318.75,23321.75,280.0,,2025-08
2025-08-01 02:10:00,CME_MINI:NQ1!,23322.25,23330.5,23321.25,23328.5,363.0,,2025-08
2025-08-01 02:15:00,CME_MINI:NQ1!,23328.25,23330.25,23321.0,23323.5,274.0,,2025-08
2025-08-01 02:20:00,CME_MINI:NQ1!,23323.0,23325.25,23319.5,23325.0,293.0,,2025-08
2025-08-01 02:25:00,CME_MINI:NQ1!,23325.25,23336.25,23324.25,23327.0,630.0,,2025-08
2025-08-01 02:30:00,CME_MINI:NQ1!,23326.0,23326.75,23316.5,23318.0,381.0,,2025-08
2025-08-01 02:35:00,CME_MINI:NQ1!,23318.5,23330.75,23318.5,23329.0,331.0,,2025-08
2025-08-01 02:40:00,CME_MINI:NQ1!,23328.25,23333.5,23327.75,23332.5,279.0,,2025-08
2025-08-01 02:45:00,CME_MINI:NQ1!,23332.75,23340.0,23330.0,23337.25,475.0,,2025-08
2025-08-01 02:50:00,CME_MINI:NQ1!,23336.0,23337.25,23332.75,23336.25,393.0,,2025-08
2025-08-01 02:55:00,CME_MINI:NQ1!,23334.25,23335.75,23330.0,23332.5,280.0,,2025-08
2025-08-01 03:00:00,CME_MINI:NQ1!,23333.0,23337.0,23326.25,23327.0,394.0,,2025-08
2025-08-01 03:05:00,CME_MINI:NQ1!,23327.75,23339.5,23327.0,23337.0,360.0,,2025-08
2025-08-01 03:10:00,CME_MINI:NQ1!,23338.25,23339.25,23331.0,23334.0,266.0,,2025-08
2025-08-01 03:15:00,CME_MINI:NQ1!,23334.0,23336.25,23332.5,23336.0,149.0,,2025-08
2025-08-01 03:20:00,CME_MINI:NQ1!,23336.5,23339.0,23332.75,23334.5,256.0,,2025-08
2025-08-01 03:25:00,CME_MINI:NQ1!,23334.5,23336.75,23330.75,23336.5,316.0,,2025-08
2025-08-01 03:30:00,CME_MINI:NQ1!,23337.0,23342.5,23332.0,23334.5,325.0,,2025-08
2025-08-01 03:35:00,CME_MINI:NQ1!,23334.25,23334.25,23322.0,23325.0,312.0,,2025-08
2025-08-01 03:40:00,CME_MINI:NQ1!,23325.0,23325.0,23316.5,23320.0,229.0,,2025-08
2025-08-01 03:45:00,CME_MINI:NQ1!,23319.75,23324.5,23312.75,23314.25,326.0,,2025-08
2025-08-01 03:50:00,CME_MINI:NQ1!,23312.5,23315.75,23310.0,23314.0,220.0,,2025-08
2025-08-01 03:55:00,CME_MINI:NQ1!,23313.25,23314.75,23302.25,23304.5,361.0,,2025-08
2025-08-01 04:00:00,CME_MINI:NQ1!,23304.5,23315.0,23295.25,23305.5,630.0,,2025-08
2025-08-01 04:05:00,CME_MINI:NQ1!,23305.0,23317.0,23304.5,23310.5,385.0,,2025-08
2025-08-01 04:10:00,CME_MINI:NQ1!,23309.5,23320.75,23309.25,23318.0,356.0,,2025-08
2025-08-01 04:15:00,CME_MINI:NQ1!,23317.25,23321.5,23312.0,23320.5,163.0,,2025-08
2025-08-01 04:20:00,CME_MINI:NQ1!,23319.25,23321.25,23312.5,23316.25,169.0,,2025-08
2025-08-01 04:25:00,CME_MINI:NQ1!,23315.25,23318.25,23313.75,23314.5,100.0,,2025-08
2025-08-01 04:30:00,CME_MINI:NQ1!,23315.75,23316.75,23310.5,23312.0,97.0,,2025-08
2025-08-01 04:35:00,CME_MINI:NQ1!,23311.75,23316.0,23309.0,23315.25,163.0,,2025-08
2025-08-01 04:40:00,CME_MINI:NQ1!,23316.0,23320.5,23315.25,23318.5,165.0,,2025-08
2025-08-01 04:45:00,CME_MINI:NQ1!,23319.0,23319.25,23306.5,23307.25,210.0,,2025-08
2025-08-01 04:50:00,CME_MINI:NQ1!,23308.5,23318.75,23306.75,23317.75,225.0,,2025-08
2025-08-01 04:55:00,CME_MINI:NQ1!,23317.0,23319.25,23311.75,23318.5,109.0,,2025-08
2025-08-01 05:00:00,CME_MINI:NQ1!,23317.75,23324.0,23315.5,23316.5,224.0,,2025-08
2025-08-01 05:05:00,CME_MINI:NQ1!,23316.0,23325.0,23315.75,23321.25,196.0,,2025-08
2025-08-01 05:10:00,CME_MINI:NQ1!,23322.0,23323.75,23312.0,23314.0,177.0,,2025-08
2025-08-01 05:15:00,CME_MINI:NQ1!,23314.0,23316.25,23311.5,23315.5,93.0,,2025-08
2025-08-01 05:20:00,CME_MINI:NQ1!,23315.25,23318.0,23309.75,23313.25,214.0,,2025-08
2025-08-01 05:25:00,CME_MINI:NQ1!,23312.0,23312.5,23305.0,23307.0,201.0,,2025-08
2025-08-01 05:30:00,CME_MINI:NQ1!,23306.5,23315.0,23306.5,23313.75,216.0,,2025-08
2025-08-01 05:35:00,CME_MINI:NQ1!,23313.5,23314.25,23301.5,23304.25,270.0,,2025-08
2025-08-01 05:40:00,CME_MINI:NQ1!,23304.5,23313.5,23297.5,23299.5,246.0,,2025-08
2025-08-01 05:45:00,CME_MINI:NQ1!,23298.75,23302.75,23293.25,23296.5,365.0,,2025-08
2025-08-01 05:50:00,CME_MINI:NQ1!,23297.75,23303.5,23290.25,23300.25,499.0,,2025-08
2025-08-01 05:55:00,CME_MINI:NQ1!,23301.0,23302.25,23291.0,23292.75,250.0,,2025-08
2025-08-01 06:00:00,CME_MINI:NQ1!,23292.25,23296.5,23286.75,23293.0,438.0,,2025-08
2025-08-01 06:05:00,CME_MINI:NQ1!,23295.0,23295.75,23286.0,23293.75,340.0,,2025-08
2025-08-01 06:10:00,CME_MINI:NQ1!,23293.0,23293.0,23274.75,23277.0,607.0,,2025-08
2025-08-01 06:15:00,CME_MINI:NQ1!,23276.75,23283.25,23273.75,23278.5,305.0,,2025-08
2025-08-01 06:20:00,CME_MINI:NQ1!,23279.25,23284.0,23274.0,23282.5,228.0,,2025-08
2025-08-01 06:25:00,CME_MINI:NQ1!,23281.25,23282.5,23260.25,23262.5,513.0,,2025-08
2025-08-01 06:30:00,CME_MINI:NQ1!,23261.75,23272.75,23256.0,23265.5,666.0,,2025-08
2025-08-01 06:35:00,CME_MINI:NQ1!,23266.5,23268.0,23257.25,23263.25,314.0,,2025-08
2025-08-01 06:40:00,CME_MINI:NQ1!,23263.0,23269.5,23262.0,23266.0,328.0,,2025-08
2025-08-01 06:45:00,CME_MINI:NQ1!,23265.5,23277.0,23258.75,23273.5,480.0,,2025-08
2025-08-01 06:50:00,CME_MINI:NQ1!,23274.0,23279.75,23264.5,23266.25,389.0,,2025-08
2025-08-01 06:55:00,CME_MINI:NQ1!,23266.0,23269.75,23255.5,23269.75,627.0,,2025-08
2025-08-01 07:00:00,CME_MINI:NQ1!,23268.75,23278.5,23246.0,23248.5,1529.0,,2025-08
2025-08-01 07:05:00,CME_MINI:NQ1!,23249.25,23260.5,23232.75,23234.25,1266.0,,2025-08
2025-08-01 07:10:00,CME_MINI:NQ1!,23234.5,23243.75,23225.75,23229.5,1002.0,,2025-08
2025-08-01 07:15:00,CME_MINI:NQ1!,23229.75,23230.5,23204.0,23206.25,1161.0,,2025-08
2025-08-01 07:20:00,CME_MINI:NQ1!,23206.25,23209.0,23190.25,23204.5,1747.0,,2025-08
2025-08-01 07:25:00,CME_MINI:NQ1!,23204.5,23217.25,23185.0,23186.0,1340.0,,2025-08
2025-08-01 07:30:00,CME_MINI:NQ1!,23185.0,23203.0,23170.5,23171.5,1663.0,,2025-08
2025-08-01 07:35:00,CME_MINI:NQ1!,23172.5,23181.25,23153.0,23161.0,2014.0,,2025-08
2025-08-01 07:40:00,CME_MINI:NQ1!,23161.5,23169.25,23141.5,23162.0,1907.0,,2025-08
2025-08-01 07:45:00,CME_MINI:NQ1!,23162.0,23170.5,23140.25,23142.0,1599.0,,2025-08
2025-08-01 07:50:00,CME_MINI:NQ1!,23143.5,23156.0,23127.25,23148.5,1692.0,,2025-08
2025-08-01 07:55:00,CME_MINI:NQ1!,23148.5,23176.5,23143.75,23169.5,1543.0,,2025-08
2025-08-01 08:00:00,CME_MINI:NQ1!,23169.75,23172.5,23148.75,23151.75,1881.0,,2025-08
2025-08-01 08:05:00,CME_MINI:NQ1!,23149.75,23161.5,23142.5,23147.0,1253.0,,2025-08
2025-08-01 08:10:00,CME_MINI:NQ1!,23146.75,23155.25,23128.25,23145.0,3289.0,,2025-08
2025-08-01 08:15:00,CME_MINI:NQ1!,23145.25,23163.75,23144.0,23152.25,1275.0,,2025-08
2025-08-01 08:20:00,CME_MINI:NQ1!,23152.5,23154.75,23127.75,23132.25,2228.0,,2025-08
2025-08-01 08:25:00,CME_MINI:NQ1!,23131.25,23135.5,23071.0,23082.75,3188.0,,2025-08
2025-08-01 08:30:00,CME_MINI:NQ1!,23082.5,23103.0,23078.5,23091.75,1909.0,,2025-08
2025-08-01 08:35:00,CME_MINI:NQ1!,23092.75,23098.75,23064.75,23064.75,2350.0,,2025-08
2025-08-01 08:40:00,CME_MINI:NQ1!,23065.25,23094.5,23062.5,23090.0,1557.0,,2025-08
2025-08-01 08:45:00,CME_MINI:NQ1!,23089.25,23112.25,23087.75,23110.5,1432.0,,2025-08
2025-08-01 08:50:00,CME_MINI:NQ1!,23110.25,23122.75,23103.0,23117.0,1252.0,,2025-08
2025-08-01 08:55:00,CME_MINI:NQ1!,23116.5,23127.75,23112.25,23114.0,924.0,,2025-08
2025-08-01 09:00:00,CME_MINI:NQ1!,23113.75,23135.25,23107.5,23133.75,1016.0,,2025-08
2025-08-01 09:05:00,CME_MINI:NQ1!,23134.5,23140.25,23117.0,23123.5,1149.0,,2025-08
2025-08-01 09:10:00,CME_MINI:NQ1!,23123.75,23128.25,23110.5,23111.75,917.0,,2025-08
2025-08-01 09:15:00,CME_MINI:NQ1!,23112.25,23126.0,23102.75,23111.25,1835.0,,2025-08
2025-08-01 09:20:00,CME_MINI:NQ1!,23111.25,23112.5,23096.5,23106.0,1468.0,,2025-08
2025-08-01 09:25:00,CME_MINI:NQ1!,23106.0,23108.75,23092.5,23094.5,886.0,,2025-08
2025-08-01 09:30:00,CME_MINI:NQ1!,23094.0,23113.75,23085.75,23104.75,1479.0,,2025-08
2025-08-01 09:35:00,CME_MINI:NQ1!,23104.75,23121.5,23101.25,23120.5,768.0,,2025-08
2025-08-01 09:40:00,CME_MINI:NQ1!,23119.5,23126.75,23112.25,23122.0,737.0,,2025-08
2025-08-01 09:45:00,CME_MINI:NQ1!,23121.75,23135.0,23120.0,23129.25,781.0,,2025-08
2025-08-01 09:50:00,CME_MINI:NQ1!,23129.0,23132.5,23119.75,23124.0,799.0,,2025-08
2025-08-01 09:55:00,CME_MINI:NQ1!,23122.75,23133.0,23122.25,23127.75,530.0,,2025-08
2025-08-01 10:00:00,CME_MINI:NQ1!,23126.75,23127.5,23102.0,23106.25,1127.0,,2025-08
2025-08-01 10:05:00,CME_MINI:NQ1!,23107.25,23112.25,23085.0,23101.0,2228.0,,2025-08
2025-08-01 10:10:00,CME_MINI:NQ1!,23100.0,23109.25,23098.0,23101.5,599.0,,2025-08
2025-08-01 10:15:00,CME_MINI:NQ1!,23101.5,23111.0,23093.75,23105.25,575.0,,2025-08
2025-08-01 10:20:00,CME_MINI:NQ1!,23104.5,23109.25,23088.0,23099.25,1202.0,,2025-08
2025-08-01 10:25:00,CME_MINI:NQ1!,23099.25,23109.75,23082.75,23103.5,1598.0,,2025-08
2025-08-01 10:30:00,CME_MINI:NQ1!,23102.5,23105.0,23094.75,23101.0,671.0,,2025-08
2025-08-01 10:35:00,CME_MINI:NQ1!,23100.25,23101.25,23083.5,23089.75,909.0,,2025-08
2025-08-01 10:40:00,CME_MINI:NQ1!,23089.0,23090.5,23063.0,23065.0,2220.0,,2025-08
2025-08-01 10:45:00,CME_MINI:NQ1!,23064.5,23080.25,23050.25,23059.25,1420.0,,2025-08
2025-08-01 10:50:00,CME_MINI:NQ1!,23059.25,23062.5,23033.75,23033.75,2104.0,,2025-08
2025-08-01 10:55:00,CME_MINI:NQ1!,23033.75,23057.0,23031.5,23054.75,1187.0,,2025-08
2025-08-01 11:00:00,CME_MINI:NQ1!,23055.75,23069.5,23051.5,23064.75,1504.0,,2025-08
2025-08-01 11:05:00,CME_MINI:NQ1!,23064.0,23078.5,23061.5,23075.5,1115.0,,2025-08
2025-08-01 11:10:00,CME_MINI:NQ1!,23075.25,23101.25,23074.75,23099.5,1200.0,,2025-08
2025-08-01 11:15:00,CME_MINI:NQ1!,23100.0,23112.25,23095.0,23102.75,1202.0,,2025-08
2025-08-01 11:20:00,CME_MINI:NQ1!,23102.25,23112.0,23091.25,23101.5,1009.0,,2025-08
2025-08-01 11:25:00,CME_MINI:NQ1!,23101.75,23111.25,23101.75,23103.25,549.0,,2025-08
2025-08-01 11:30:00,CME_MINI:NQ1!,23103.5,23114.5,23098.75,23102.0,1063.0,,2025-08
2025-08-01 11:35:00,CME_MINI:NQ1!,23101.25,23122.25,23100.25,23116.25,1556.0,,2025-08
2025-08-01 11:40:00,CME_MINI:NQ1!,23116.0,23123.75,23110.25,23121.5,820.0,,2025-08
2025-08-01 11:45:00,CME_MINI:NQ1!,23119.5,23128.5,23111.5,23112.25,1187.0,,2025-08
2025-08-01 11:50:00,CME_MINI:NQ1!,23112.0,23123.75,23110.0,23116.25,1040.0,,2025-08
2025-08-01 11:55:00,CME_MINI:NQ1!,23116.0,23129.5,23113.75,23126.0,715.0,,2025-08
2025-08-01 12:00:00,CME_MINI:NQ1!,23125.75,23132.25,23112.75,23128.75,1125.0,,2025-08
2025-08-01 12:05:00,CME_MINI:NQ1!,23129.25,23133.75,23122.0,23127.25,1121.0,,2025-08
2025-08-01 12:10:00,CME_MINI:NQ1!,23127.75,23138.5,23123.0,23128.75,1271.0,,2025-08
2025-08-01 12:15:00,CME_MINI:NQ1!,23129.0,23130.75,23109.0,23114.0,1564.0,,2025-08
2025-08-01 12:20:00,CME_MINI:NQ1!,23115.5,23123.75,23108.5,23121.75,1339.0,,2025-08
2025-08-01 12:25:00,CME_MINI:NQ1!,23122.25,23125.75,23112.5,23123.0,1430.0,,2025-08
2025-08-01 12:30:00,CME_MINI:NQ1!,23121.0,23142.25,23059.5,23061.25,6654.0,,2025-08
2025-08-01 12:35:00,CME_MINI:NQ1!,23060.75,23128.25,23060.5,23118.0,6160.0,,2025-08
2025-08-01 12:40:00,CME_MINI:NQ1!,23117.5,23167.5,23115.0,23149.5,7268.0,,2025-08
2025-08-01 12:45:00,CME_MINI:NQ1!,23148.75,23148.75,23107.5,23108.25,4139.0,,2025-08
2025-08-01 12:50:00,CME_MINI:NQ1!,23108.25,23116.75,23091.25,23104.5,3147.0,,2025-08
2025-08-01 12:55:00,CME_MINI:NQ1!,23103.75,23108.25,23063.0,23068.25,4239.0,,2025-08
2025-08-01 13:00:00,CME_MINI:NQ1!,23068.5,23102.25,23067.25,23078.5,3290.0,,2025-08
2025-08-01 13:05:00,CME_MINI:NQ1!,23078.75,23091.25,23069.75,23078.0,2030.0,,2025-08
2025-08-01 13:10:00,CME_MINI:NQ1!,23078.25,23089.75,23057.75,23059.25,3020.0,,2025-08
2025-08-01 13:15:00,CME_MINI:NQ1!,23058.75,23070.75,23052.5,23068.75,2888.0,,2025-08
2025-08-01 13:20:00,CME_MINI:NQ1!,23068.25,23069.0,23052.25,23060.0,2610.0,,2025-08
2025-08-01 13:25:00,CME_MINI:NQ1!,23060.0,23088.5,23045.75,23088.0,6991.0,,2025-08
2025-08-01 13:30:00,CME_MINI:NQ1!,23087.5,23095.75,23000.25,23013.0,25255.0,,2025-08
2025-08-01 13:35:00,CME_MINI:NQ1!,23013.0,23033.25,22975.0,22992.75,17351.0,,2025-08
2025-08-01 13:40:00,CME_MINI:NQ1!,22991.25,22992.25,22918.0,22919.75,15279.0,,2025-08
2025-08-01 13:45:00,CME_MINI:NQ1!,22919.5,22929.75,22864.0,22865.75,15879.0,,2025-08
2025-08-01 13:50:00,CME_MINI:NQ1!,22865.75,22909.0,22858.0,22880.25,13040.0,,2025-08
2025-08-01 13:55:00,CME_MINI:NQ1!,22881.25,22904.75,22870.5,22883.0,10878.0,,2025-08
2025-08-01 14:00:00,CME_MINI:NQ1!,22880.0,22880.0,22800.0,22861.0,17810.0,,2025-08
2025-08-01 14:05:00,CME_MINI:NQ1!,22861.5,22901.0,22834.0,22890.75,13045.0,,2025-08
2025-08-01 14:10:00,CME_MINI:NQ1!,22890.0,22928.75,22887.5,22908.75,11673.0,,2025-08
2025-08-01 14:15:00,CME_MINI:NQ1!,22908.0,22961.0,22905.5,22933.5,11298.0,,2025-08
2025-08-01 14:20:00,CME_MINI:NQ1!,22933.75,22970.25,22921.25,22966.5,11721.0,,2025-08
2025-08-01 14:25:00,CME_MINI:NQ1!,22965.75,22985.0,22944.75,22984.75,9303.0,,2025-08
2025-08-01 14:30:00,CME_MINI:NQ1!,22984.75,23022.75,22971.75,23008.5,12143.0,,2025-08
2025-08-01 14:35:00,CME_MINI:NQ1!,23008.25,23020.5,22975.5,22980.25,10536.0,,2025-08
2025-08-01 14:40:00,CME_MINI:NQ1!,22980.0,22999.25,22955.0,22959.0,11360.0,,2025-08
2025-08-01 14:45:00,CME_MINI:NQ1!,22958.75,23012.25,22943.0,22956.0,12454.0,,2025-08
2025-08-01 14:50:00,CME_MINI:NQ1!,22955.0,22967.0,22924.5,22937.75,8630.0,,2025-08
2025-08-01 14:55:00,CME_MINI:NQ1!,22938.5,22965.0,22919.25,22929.75,6579.0,,2025-08
2025-08-01 15:00:00,CME_MINI:NQ1!,22929.75,22938.75,22901.0,22924.0,7666.0,,2025-08
2025-08-01 15:05:00,CME_MINI:NQ1!,22924.75,22948.5,22921.0,22930.75,5430.0,,2025-08
2025-08-01 15:10:00,CME_MINI:NQ1!,22930.5,22959.5,22918.0,22924.0,6463.0,,2025-08
2025-08-01 15:15:00,CME_MINI:NQ1!,22923.25,22958.25,22917.5,22927.0,5377.0,,2025-08
2025-08-01 15:20:00,CME_MINI:NQ1!,22926.5,22946.75,22908.0,22910.75,6093.0,,2025-08
2025-08-01 15:25:00,CME_MINI:NQ1!,22910.0,22926.0,22899.75,22902.75,5084.0,,2025-08
2025-08-01 15:30:00,CME_MINI:NQ1!,22902.5,22920.25,22896.0,22903.75,5860.0,,2025-08
2025-08-01 15:35:00,CME_MINI:NQ1!,22904.5,22957.0,22901.0,22953.5,6240.0,,2025-08
2025-08-01 15:40:00,CME_MINI:NQ1!,22953.25,22995.0,22951.0,22993.5,6438.0,,2025-08
2025-08-01 15:45:00,CME_MINI:NQ1!,22994.0,23018.75,22983.25,22996.5,7354.0,,2025-08
2025-08-01 15:50:00,CME_MINI:NQ1!,22997.0,23001.5,22979.5,22994.75,4784.0,,2025-08
2025-08-01 15:55:00,CME_MINI:NQ1!,22994.5,23008.25,22981.0,23007.0,3876.0,,2025-08
2025-08-01 16:00:00,CME_MINI:NQ1!,23006.25,23031.0,23000.25,23026.5,6556.0,,2025-08
2025-08-01 16:05:00,CME_MINI:NQ1!,23026.5,23038.25,23012.75,23018.5,5090.0,,2025-08
2025-08-01 16:10:00,CME_MINI:NQ1!,23018.5,23024.0,23001.5,23023.75,4352.0,,2025-08
2025-08-01 16:15:00,CME_MINI:NQ1!,23023.0,23030.5,23003.0,23025.75,3323.0,,2025-08
2025-08-01 16:20:00,CME_MINI:NQ1!,23026.0,23032.0,23006.75,23024.25,3214.0,,2025-08
2025-08-01 16:25:00,CME_MINI:NQ1!,23023.5,23045.5,23006.75,23008.25,5049.0,,2025-08
2025-08-01 16:30:00,CME_MINI:NQ1!,23008.5,23018.5,22992.25,23018.25,4702.0,,2025-08
2025-08-01 16:35:00,CME_MINI:NQ1!,23017.75,23019.5,22983.5,22989.0,4195.0,,2025-08
2025-08-01 16:40:00,CME_MINI:NQ1!,22989.75,22989.75,22956.5,22963.25,5774.0,,2025-08
2025-08-01 16:45:00,CME_MINI:NQ1!,22963.25,22983.75,22948.0,22952.5,5580.0,,2025-08
2025-08-01 16:50:00,CME_MINI:NQ1!,22952.75,22955.25,22915.75,22923.25,6498.0,,2025-08
2025-08-01 16:55:00,CME_MINI:NQ1!,22923.0,22930.5,22872.75,22879.0,9043.0,,2025-08
2025-08-01 17:00:00,CME_MINI:NQ1!,22879.0,22899.75,22860.0,22869.0,8627.0,,2025-08
2025-08-01 17:05:00,CME_MINI:NQ1!,22868.25,22893.25,22853.5,22884.75,6962.0,,2025-08
2025-08-01 17:10:00,CME_MINI:NQ1!,22885.25,22889.75,22861.5,22862.75,4722.0,,2025-08
2025-08-01 17:15:00,CME_MINI:NQ1!,22862.5,22873.0,22850.75,22855.25,4544.0,,2025-08
2025-08-01 17:20:00,CME_MINI:NQ1!,22855.75,22876.5,22851.25,22857.75,5111.0,,2025-08
2025-08-01 17:25:00,CME_MINI:NQ1!,22858.0,22862.75,22837.0,22850.75,4881.0,,2025-08
2025-08-01 17:30:00,CME_MINI:NQ1!,22850.0,22881.5,22846.25,22861.75,5170.0,,2025-08
2025-08-01 17:35:00,CME_MINI:NQ1!,22862.0,22862.0,22831.25,22839.0,4278.0,,2025-08
2025-08-01 17:40:00,CME_MINI:NQ1!,22839.5,22870.0,22835.5,22853.0,4031.0,,2025-08
2025-08-01 17:45:00,CME_MINI:NQ1!,22852.25,22862.75,22832.0,22857.5,4216.0,,2025-08
2025-08-01 17:50:00,CME_MINI:NQ1!,22858.0,22874.25,22847.75,22854.25,4196.0,,2025-08
2025-08-01 17:55:00,CME_MINI:NQ1!,22854.0,22854.75,22827.25,22845.0,4227.0,,2025-08
2025-08-01 18:00:00,CME_MINI:NQ1!,22844.75,22855.0,22824.25,22828.25,4948.0,,2025-08
2025-08-01 18:05:00,CME_MINI:NQ1!,22827.75,22841.0,22775.0,22809.0,7329.0,,2025-08
2025-08-01 18:10:00,CME_MINI:NQ1!,22809.0,22823.0,22793.5,22805.25,6575.0,,2025-08
2025-08-01 18:15:00,CME_MINI:NQ1!,22805.75,22839.0,22804.5,22826.0,4949.0,,2025-08
2025-08-01 18:20:00,CME_MINI:NQ1!,22825.0,22860.25,22810.75,22860.0,4993.0,,2025-08
2025-08-01 18:25:00,CME_MINI:NQ1!,22860.25,22898.5,22853.75,22891.0,7381.0,,2025-08
2025-08-01 18:30:00,CME_MINI:NQ1!,22891.5,22918.25,22881.25,22902.25,5779.0,,2025-08
2025-08-01 18:35:00,CME_MINI:NQ1!,22902.0,22919.75,22895.75,22918.25,3659.0,,2025-08
2025-08-01 18:40:00,CME_MINI:NQ1!,22917.75,22941.25,22912.0,22940.5,4369.0,,2025-08
2025-08-01 18:45:00,CME_MINI:NQ1!,22940.5,22942.75,22902.5,22910.75,5586.0,,2025-08
2025-08-01 18:50:00,CME_MINI:NQ1!,22910.25,22912.0,22853.25,22856.5,6478.0,,2025-08
2025-08-01 18:55:00,CME_MINI:NQ1!,22857.0,22887.5,22848.25,22870.25,5932.0,,2025-08
2025-08-01 19:00:00,CME_MINI:NQ1!,22870.25,22885.75,22854.5,22858.5,4403.0,,2025-08
2025-08-01 19:05:00,CME_MINI:NQ1!,22858.25,22890.0,22857.5,22872.0,4101.0,,2025-08
2025-08-01 19:10:00,CME_MINI:NQ1!,22872.0,22883.0,22862.75,22874.75,3556.0,,2025-08
2025-08-01 19:15:00,CME_MINI:NQ1!,22874.0,22899.75,22869.75,22897.5,3868.0,,2025-08
2025-08-01 19:20:00,CME_MINI:NQ1!,22897.0,22898.5,22859.0,22886.75,5384.0,,2025-08
2025-08-01 19:25:00,CME_MINI:NQ1!,22886.75,22889.25,22866.0,22877.5,2887.0,,2025-08
2025-08-01 19:30:00,CME_MINI:NQ1!,22876.75,22889.0,22836.25,22884.0,8566.0,,2025-08
2025-08-01 19:35:00,CME_MINI:NQ1!,22884.0,22888.5,22867.5,22870.0,3689.0,,2025-08
2025-08-01 19:40:00,CME_MINI:NQ1!,22869.5,22891.5,22867.5,22885.75,3090.0,,2025-08
2025-08-01 19:45:00,CME_MINI:NQ1!,22885.25,22939.0,22877.25,22920.75,8846.0,,2025-08
2025-08-01 19:50:00,CME_MINI:NQ1!,22921.5,22944.5,22867.75,22899.25,12262.0,,2025-08
