datetime,symbol,open,high,low,close,volume,month
2025-07-24 14:00:00,CME_MINI:NQ1!,23363.5,23365.25,23335.0,23343.5,7053.0,2025-07
2025-07-24 14:05:00,CME_MINI:NQ1!,23344.0,23364.5,23326.5,23329.75,7029.0,2025-07
2025-07-24 14:10:00,CME_MINI:NQ1!,23329.25,23340.0,23298.25,23312.25,11614.0,2025-07
2025-07-24 14:15:00,CME_MINI:NQ1!,23312.75,23339.75,23301.5,23335.0,7925.0,2025-07
2025-07-24 14:20:00,CME_MINI:NQ1!,23334.5,23340.75,23323.0,23330.25,4674.0,2025-07
2025-07-24 14:25:00,CME_MINI:NQ1!,23329.25,23339.75,23322.25,23332.0,4289.0,2025-07
2025-07-24 14:30:00,CME_MINI:NQ1!,23332.5,23343.0,23329.25,23334.5,3931.0,2025-07
2025-07-24 14:35:00,CME_MINI:NQ1!,23334.25,23361.5,23332.0,23353.0,5855.0,2025-07
2025-07-24 14:40:00,CME_MINI:NQ1!,23352.75,23359.75,23348.0,23352.5,3558.0,2025-07
2025-07-24 14:45:00,CME_MINI:NQ1!,23352.25,23365.0,23351.5,23360.75,4391.0,2025-07
2025-07-24 14:50:00,CME_MINI:NQ1!,23360.5,23372.75,23358.75,23367.0,4165.0,2025-07
2025-07-24 14:55:00,CME_MINI:NQ1!,23366.75,23381.0,23360.75,23372.5,4502.0,2025-07
2025-07-24 15:00:00,CME_MINI:NQ1!,23372.5,23388.25,23370.75,23384.5,5279.0,2025-07
2025-07-24 15:05:00,CME_MINI:NQ1!,23384.25,23388.0,23378.5,23380.75,3556.0,2025-07
2025-07-24 15:10:00,CME_MINI:NQ1!,23381.0,23390.75,23374.0,23388.0,4198.0,2025-07
2025-07-24 15:15:00,CME_MINI:NQ1!,23387.75,23393.5,23374.25,23377.5,4532.0,2025-07
2025-07-24 15:20:00,CME_MINI:NQ1!,23377.75,23391.75,23376.0,23390.0,3010.0,2025-07
2025-07-24 15:25:00,CME_MINI:NQ1!,23390.25,23397.75,23376.75,23380.5,4244.0,2025-07
2025-07-24 15:30:00,CME_MINI:NQ1!,23380.75,23384.25,23370.75,23378.0,3788.0,2025-07
2025-07-24 15:35:00,CME_MINI:NQ1!,23378.5,23379.25,23368.75,23376.0,2957.0,2025-07
2025-07-24 15:40:00,CME_MINI:NQ1!,23376.5,23382.75,23372.0,23378.75,2819.0,2025-07
2025-07-24 15:45:00,CME_MINI:NQ1!,23378.5,23389.75,23374.5,23385.75,4176.0,2025-07
2025-07-24 15:50:00,CME_MINI:NQ1!,23386.0,23400.5,23383.75,23392.75,4973.0,2025-07
2025-07-24 15:55:00,CME_MINI:NQ1!,23393.25,23394.75,23386.75,23388.0,2569.0,2025-07
2025-07-24 16:00:00,CME_MINI:NQ1!,23388.0,23388.75,23364.75,23367.0,4304.0,2025-07
2025-07-24 16:05:00,CME_MINI:NQ1!,23367.5,23372.0,23355.5,23363.75,4759.0,2025-07
2025-07-24 16:10:00,CME_MINI:NQ1!,23364.0,23366.5,23352.5,23356.25,2990.0,2025-07
2025-07-24 16:15:00,CME_MINI:NQ1!,23356.25,23366.75,23350.0,23365.0,3369.0,2025-07
2025-07-24 16:20:00,CME_MINI:NQ1!,23365.0,23371.75,23360.0,23363.25,2868.0,2025-07
2025-07-24 16:25:00,CME_MINI:NQ1!,23363.75,23363.75,23340.0,23351.0,5139.0,2025-07
2025-07-24 16:30:00,CME_MINI:NQ1!,23351.5,23357.0,23343.75,23352.0,3999.0,2025-07
2025-07-24 16:35:00,CME_MINI:NQ1!,23352.25,23364.25,23344.75,23362.0,3166.0,2025-07
2025-07-24 16:40:00,CME_MINI:NQ1!,23362.0,23368.0,23359.0,23362.0,2767.0,2025-07
2025-07-24 16:45:00,CME_MINI:NQ1!,23362.25,23363.5,23353.25,23361.5,2899.0,2025-07
2025-07-24 16:50:00,CME_MINI:NQ1!,23362.0,23367.25,23353.25,23365.75,2805.0,2025-07
2025-07-24 16:55:00,CME_MINI:NQ1!,23365.75,23374.75,23363.0,23370.5,3133.0,2025-07
2025-07-24 17:00:00,CME_MINI:NQ1!,23370.25,23378.5,23365.75,23377.25,2533.0,2025-07
2025-07-24 17:05:00,CME_MINI:NQ1!,23376.75,23391.75,23376.25,23391.5,3436.0,2025-07
2025-07-24 17:10:00,CME_MINI:NQ1!,23391.75,23413.25,23391.0,23411.0,5751.0,2025-07
2025-07-24 17:15:00,CME_MINI:NQ1!,23411.5,23423.0,23399.25,23406.5,6283.0,2025-07
2025-07-24 17:20:00,CME_MINI:NQ1!,23406.5,23409.25,23401.75,23406.25,2621.0,2025-07
2025-07-24 17:25:00,CME_MINI:NQ1!,23406.5,23407.0,23388.75,23389.75,2948.0,2025-07
2025-07-24 17:30:00,CME_MINI:NQ1!,23389.5,23400.25,23388.5,23396.0,2635.0,2025-07
2025-07-24 17:35:00,CME_MINI:NQ1!,23395.75,23402.0,23392.5,23397.0,1616.0,2025-07
2025-07-24 17:40:00,CME_MINI:NQ1!,23396.5,23401.75,23384.0,23389.5,2517.0,2025-07
2025-07-24 17:45:00,CME_MINI:NQ1!,23389.75,23396.75,23389.25,23394.75,1822.0,2025-07
2025-07-24 17:50:00,CME_MINI:NQ1!,23394.5,23401.0,23393.0,23397.5,2132.0,2025-07
2025-07-24 17:55:00,CME_MINI:NQ1!,23397.5,23398.0,23380.75,23384.25,2543.0,2025-07
2025-07-24 18:00:00,CME_MINI:NQ1!,23383.75,23399.25,23383.0,23398.25,3363.0,2025-07
2025-07-24 18:05:00,CME_MINI:NQ1!,23397.75,23408.0,23395.25,23407.0,2797.0,2025-07
2025-07-24 18:10:00,CME_MINI:NQ1!,23407.0,23422.0,23405.75,23413.25,5041.0,2025-07
2025-07-24 18:15:00,CME_MINI:NQ1!,23413.0,23418.25,23409.25,23417.0,3055.0,2025-07
2025-07-24 18:20:00,CME_MINI:NQ1!,23417.0,23418.0,23405.0,23411.5,3178.0,2025-07
2025-07-24 18:25:00,CME_MINI:NQ1!,23411.5,23416.0,23409.25,23414.75,2060.0,2025-07
2025-07-24 18:30:00,CME_MINI:NQ1!,23415.25,23421.0,23410.5,23414.0,2640.0,2025-07
2025-07-24 18:35:00,CME_MINI:NQ1!,23414.25,23414.25,23406.0,23407.5,1817.0,2025-07
2025-07-24 18:40:00,CME_MINI:NQ1!,23408.0,23409.75,23397.0,23403.25,2535.0,2025-07
2025-07-24 18:45:00,CME_MINI:NQ1!,23403.0,23403.25,23376.5,23396.0,6027.0,2025-07
2025-07-24 18:50:00,CME_MINI:NQ1!,23396.0,23397.25,23389.25,23393.0,2858.0,2025-07
2025-07-24 18:55:00,CME_MINI:NQ1!,23392.5,23404.75,23392.0,23400.75,3006.0,2025-07
2025-07-24 19:00:00,CME_MINI:NQ1!,23400.0,23409.25,23396.75,23406.0,2888.0,2025-07
2025-07-24 19:05:00,CME_MINI:NQ1!,23405.25,23406.5,23395.75,23402.75,2148.0,2025-07
2025-07-24 19:10:00,CME_MINI:NQ1!,23403.0,23416.0,23401.5,23404.0,3366.0,2025-07
2025-07-24 19:15:00,CME_MINI:NQ1!,23404.0,23414.0,23403.0,23409.25,2422.0,2025-07
2025-07-24 19:20:00,CME_MINI:NQ1!,23409.25,23420.5,23408.0,23419.25,3003.0,2025-07
2025-07-24 19:25:00,CME_MINI:NQ1!,23419.75,23424.5,23406.25,23415.75,4071.0,2025-07
2025-07-24 19:30:00,CME_MINI:NQ1!,23415.5,23420.75,23411.0,23415.5,2684.0,2025-07
2025-07-24 19:35:00,CME_MINI:NQ1!,23415.5,23417.0,23407.25,23409.25,2586.0,2025-07
2025-07-24 19:40:00,CME_MINI:NQ1!,23409.25,23411.25,23400.75,23405.5,3738.0,2025-07
2025-07-24 19:45:00,CME_MINI:NQ1!,23405.25,23405.5,23385.0,23401.25,5305.0,2025-07
2025-07-24 19:50:00,CME_MINI:NQ1!,23400.75,23405.25,23390.25,23393.5,6487.0,2025-07
2025-07-24 19:55:00,CME_MINI:NQ1!,23393.5,23399.75,23372.25,23376.75,13311.0,2025-07
2025-07-24 20:00:00,CME_MINI:NQ1!,23376.75,23377.75,23366.25,23374.75,6256.0,2025-07
2025-07-24 20:05:00,CME_MINI:NQ1!,23374.75,23387.25,23373.5,23381.5,2311.0,2025-07
2025-07-24 20:10:00,CME_MINI:NQ1!,23381.5,23393.0,23378.5,23392.75,1573.0,2025-07
2025-07-24 20:15:00,CME_MINI:NQ1!,23392.25,23392.25,23386.75,23390.0,730.0,2025-07
2025-07-24 20:20:00,CME_MINI:NQ1!,23389.75,23390.5,23385.0,23386.0,535.0,2025-07
2025-07-24 20:25:00,CME_MINI:NQ1!,23386.25,23393.75,23385.5,23392.0,555.0,2025-07
2025-07-24 20:30:00,CME_MINI:NQ1!,23392.0,23395.25,23390.75,23393.75,502.0,2025-07
2025-07-24 20:35:00,CME_MINI:NQ1!,23393.25,23399.0,23392.75,23396.5,555.0,2025-07
2025-07-24 20:40:00,CME_MINI:NQ1!,23396.0,23401.0,23395.5,23396.5,630.0,2025-07
2025-07-24 20:45:00,CME_MINI:NQ1!,23396.25,23400.5,23393.75,23397.5,538.0,2025-07
2025-07-24 20:50:00,CME_MINI:NQ1!,23397.5,23399.0,23392.5,23394.25,267.0,2025-07
2025-07-24 20:55:00,CME_MINI:NQ1!,23394.25,23397.0,23391.5,23395.0,384.0,2025-07
2025-07-24 22:00:00,CME_MINI:NQ1!,23391.5,23396.75,23385.0,23396.0,403.0,2025-07
2025-07-24 22:05:00,CME_MINI:NQ1!,23395.25,23402.0,23394.5,23399.0,250.0,2025-07
2025-07-24 22:10:00,CME_MINI:NQ1!,23399.5,23404.75,23398.75,23404.75,267.0,2025-07
2025-07-24 22:15:00,CME_MINI:NQ1!,23404.0,23409.0,23403.0,23408.5,376.0,2025-07
2025-07-24 22:20:00,CME_MINI:NQ1!,23407.75,23409.25,23399.25,23406.0,436.0,2025-07
2025-07-24 22:25:00,CME_MINI:NQ1!,23406.5,23420.5,23406.0,23409.0,641.0,2025-07
2025-07-24 22:30:00,CME_MINI:NQ1!,23408.75,23408.75,23400.5,23403.5,289.0,2025-07
2025-07-24 22:35:00,CME_MINI:NQ1!,23403.5,23408.5,23402.75,23408.5,129.0,2025-07
2025-07-24 22:40:00,CME_MINI:NQ1!,23407.75,23409.0,23405.0,23408.0,99.0,2025-07
2025-07-24 22:45:00,CME_MINI:NQ1!,23406.75,23407.25,23404.25,23405.0,85.0,2025-07
2025-07-24 22:50:00,CME_MINI:NQ1!,23404.5,23405.5,23402.0,23402.0,96.0,2025-07
2025-07-24 22:55:00,CME_MINI:NQ1!,23402.25,23404.25,23400.25,23401.25,119.0,2025-07
2025-07-24 23:00:00,CME_MINI:NQ1!,23400.75,23403.0,23397.5,23401.75,197.0,2025-07
2025-07-24 23:05:00,CME_MINI:NQ1!,23401.75,23405.75,23401.5,23404.25,164.0,2025-07
2025-07-24 23:10:00,CME_MINI:NQ1!,23405.0,23405.5,23394.75,23399.25,333.0,2025-07
2025-07-24 23:15:00,CME_MINI:NQ1!,23399.0,23399.0,23392.5,23395.75,176.0,2025-07
2025-07-24 23:20:00,CME_MINI:NQ1!,23395.5,23397.5,23393.0,23394.0,83.0,2025-07
2025-07-24 23:25:00,CME_MINI:NQ1!,23393.75,23397.5,23391.5,23393.0,166.0,2025-07
2025-07-24 23:30:00,CME_MINI:NQ1!,23393.75,23399.5,23390.0,23392.5,325.0,2025-07
