datetime,symbol,open,high,low,close,volume,year_month
2025-11-02 23:00:00,CME_MINI:ES1!,6878.0,6881.25,6876.75,6880.75,1085.0,2025-11
2025-11-02 23:01:00,CME_MINI:ES1!,6880.5,6885.25,6880.5,6884.5,688.0,2025-11
2025-11-02 23:02:00,CME_MINI:ES1!,6884.5,6885.0,6882.75,6883.75,299.0,2025-11
2025-11-02 23:03:00,CME_MINI:ES1!,6883.75,6885.0,6883.25,6883.25,208.0,2025-11
2025-11-02 23:04:00,CME_MINI:ES1!,6883.5,6885.25,6882.75,6885.0,268.0,2025-11
2025-11-02 23:05:00,CME_MINI:ES1!,6884.75,6886.75,6884.75,6886.0,265.0,2025-11
2025-11-02 23:06:00,CME_MINI:ES1!,6886.0,6888.0,6884.25,6887.25,609.0,2025-11
2025-11-02 23:07:00,CME_MINI:ES1!,6887.25,6889.25,6886.5,6889.25,540.0,2025-11
2025-11-02 23:08:00,CME_MINI:ES1!,6889.0,6889.5,6888.25,6889.0,236.0,2025-11
2025-11-02 23:09:00,CME_MINI:ES1!,6888.75,6889.5,6888.25,6889.0,304.0,2025-11
2025-11-02 23:10:00,CME_MINI:ES1!,6889.0,6890.0,6889.0,6889.5,325.0,2025-11
2025-11-02 23:11:00,CME_MINI:ES1!,6889.5,6889.5,6888.5,6888.5,182.0,2025-11
2025-11-02 23:12:00,CME_MINI:ES1!,6888.25,6889.25,6888.25,6888.5,134.0,2025-11
2025-11-02 23:13:00,CME_MINI:ES1!,6888.5,6889.75,6888.5,6889.75,85.0,2025-11
2025-11-02 23:14:00,CME_MINI:ES1!,6889.75,6891.5,6889.5,6891.25,306.0,2025-11
2025-11-02 23:15:00,CME_MINI:ES1!,6891.25,6891.75,6889.75,6890.75,450.0,2025-11
2025-11-02 23:16:00,CME_MINI:ES1!,6890.5,6890.75,6890.25,6890.5,86.0,2025-11
2025-11-02 23:17:00,CME_MINI:ES1!,6890.75,6892.25,6890.5,6892.25,256.0,2025-11
2025-11-02 23:18:00,CME_MINI:ES1!,6892.25,6893.0,6891.25,6891.25,482.0,2025-11
2025-11-02 23:19:00,CME_MINI:ES1!,6891.5,6892.75,6891.0,6892.75,159.0,2025-11
2025-11-02 23:20:00,CME_MINI:ES1!,6892.5,6893.5,6891.5,6891.75,191.0,2025-11
2025-11-02 23:21:00,CME_MINI:ES1!,6891.75,6891.75,6890.75,6891.25,115.0,2025-11
2025-11-02 23:22:00,CME_MINI:ES1!,6891.25,6891.25,6890.5,6890.75,127.0,2025-11
2025-11-02 23:23:00,CME_MINI:ES1!,6890.75,6890.75,6889.25,6889.75,307.0,2025-11
2025-11-02 23:24:00,CME_MINI:ES1!,6889.75,6890.5,6889.75,6890.25,133.0,2025-11
2025-11-02 23:25:00,CME_MINI:ES1!,6890.0,6890.0,6887.5,6888.25,482.0,2025-11
2025-11-02 23:26:00,CME_MINI:ES1!,6888.0,6888.75,6887.75,6888.25,130.0,2025-11
2025-11-02 23:27:00,CME_MINI:ES1!,6888.25,6888.75,6887.75,6888.25,145.0,2025-11
2025-11-02 23:28:00,CME_MINI:ES1!,6888.0,6889.0,6887.25,6888.75,206.0,2025-11
2025-11-02 23:29:00,CME_MINI:ES1!,6888.75,6889.5,6888.0,6888.5,251.0,2025-11
2025-11-02 23:30:00,CME_MINI:ES1!,6888.25,6889.0,6887.25,6889.0,195.0,2025-11
2025-11-02 23:31:00,CME_MINI:ES1!,6889.25,6890.5,6888.75,6890.0,285.0,2025-11
2025-11-02 23:32:00,CME_MINI:ES1!,6890.0,6891.25,6890.0,6891.25,235.0,2025-11
2025-11-02 23:33:00,CME_MINI:ES1!,6891.25,6892.25,6890.5,6892.0,180.0,2025-11
2025-11-02 23:34:00,CME_MINI:ES1!,6892.25,6893.25,6892.25,6893.0,259.0,2025-11
2025-11-02 23:35:00,CME_MINI:ES1!,6893.0,6893.0,6892.0,6892.0,104.0,2025-11
2025-11-02 23:36:00,CME_MINI:ES1!,6892.0,6893.75,6891.5,6893.25,199.0,2025-11
2025-11-02 23:37:00,CME_MINI:ES1!,6893.5,6893.75,6892.0,6892.0,178.0,2025-11
2025-11-02 23:38:00,CME_MINI:ES1!,6892.25,6892.25,6891.5,6891.5,93.0,2025-11
2025-11-02 23:39:00,CME_MINI:ES1!,6891.5,6892.25,6890.5,6891.25,188.0,2025-11
2025-11-02 23:40:00,CME_MINI:ES1!,6891.25,6892.5,6891.25,6891.75,92.0,2025-11
2025-11-02 23:41:00,CME_MINI:ES1!,6891.75,6894.0,6891.25,6893.75,201.0,2025-11
2025-11-02 23:42:00,CME_MINI:ES1!,6893.5,6894.75,6893.25,6894.5,151.0,2025-11
2025-11-02 23:43:00,CME_MINI:ES1!,6894.25,6894.75,6893.75,6893.75,124.0,2025-11
2025-11-02 23:44:00,CME_MINI:ES1!,6893.5,6893.5,6891.75,6891.75,151.0,2025-11
2025-11-02 23:45:00,CME_MINI:ES1!,6891.75,6893.5,6891.75,6892.75,95.0,2025-11
2025-11-02 23:46:00,CME_MINI:ES1!,6893.0,6893.5,6893.0,6893.25,80.0,2025-11
2025-11-02 23:47:00,CME_MINI:ES1!,6893.25,6893.75,6892.25,6893.0,146.0,2025-11
2025-11-02 23:48:00,CME_MINI:ES1!,6893.0,6893.0,6892.0,6892.5,71.0,2025-11
2025-11-02 23:49:00,CME_MINI:ES1!,6892.25,6894.0,6892.25,6893.5,133.0,2025-11
2025-11-02 23:50:00,CME_MINI:ES1!,6893.75,6895.0,6893.75,6895.0,261.0,2025-11
2025-11-02 23:51:00,CME_MINI:ES1!,6894.75,6895.0,6894.0,6894.0,97.0,2025-11
